iter	RMSE
0	14.04902515
1	13.20277555
2	12.44325007
3	11.73390658
4	11.06616689
5	10.51892195
6	10.06444735
7	9.641791564
8	9.259233732
9	8.867805286
10	8.541878316
11	8.23068324
12	7.995288269
13	7.690141586
14	7.44277432
15	7.237353953
16	7.042411736
17	6.899301849
18	6.750397155
19	6.624954348
20	6.502332572
21	6.406868506
22	6.326186865
23	6.237629164
24	6.16670552
25	6.110096564
26	6.050916593
27	5.989007026
28	5.942206352
29	5.884128492
30	5.849279609
31	5.797033387
32	5.756768179
33	5.733248116
34	5.700046492
35	5.68327707
36	5.660542731
37	5.630366322
38	5.623352945
39	5.595248587
40	5.573345849
41	5.559281302
42	5.543396222
43	5.521086585
44	5.492426449
45	5.477895422
46	5.461239476
47	5.451830879
48	5.438261293
49	5.429554898
50	5.413146688
51	5.403824947
52	5.395350114
53	5.389798674
54	5.378702661
55	5.358608012
56	5.348834509
57	5.344278385
58	5.332299589
59	5.324024877
60	5.310232763
61	5.302820736
62	5.294739854
63	5.288924148
64	5.279799584
65	5.274360819
66	5.267507465
67	5.264191227
68	5.255940638
69	5.24998685
70	5.244627233
71	5.239558898
72	5.235264554
73	5.231617027
74	5.22660688
75	5.21798742
76	5.213847377
77	5.202746865
78	5.194754311
79	5.188945348
80	5.181628538
81	5.177831225
82	5.172737434
83	5.161252111
84	5.158693812
85	5.14844995
86	5.144310718
87	5.139012291
88	5.129852617
89	5.125669689
90	5.122378658
91	5.117214953
92	5.11235693
93	5.107334439
94	5.104405965
95	5.100373809
96	5.091849696
97	5.087554598
98	5.081739613
99	5.077942791
100	5.073866716
101	5.070414167
102	5.06696603
103	5.059929552
104	5.056596639
105	5.05096581
106	5.046719607
107	5.041183998
108	5.034035132
109	5.03067514
110	5.028588836
111	5.025117874
112	5.021239608
113	5.008656755
114	5.004277489
115	4.994109474
116	4.992196217
117	4.989127208
118	4.980883533
119	4.974821367
120	4.969007006
121	4.963526514
122	4.958938737
123	4.952420166
124	4.944929307
125	4.942250587
126	4.940152288
127	4.933675866
128	4.926647875
129	4.921895016
130	4.917712075
131	4.911244052
132	4.904145555
133	4.898025061
134	4.891904021
135	4.887198153
136	4.879724326
137	4.873518225
138	4.870385784
139	4.862946483
140	4.857532019
141	4.852454905
142	4.844831194
143	4.842667872
144	4.837281302
145	4.826986142
146	4.82164721
147	4.818317215
148	4.816554857
149	4.809502095
150	4.804517478
151	4.799130813
152	4.793910392
153	4.787171372
154	4.780927351
155	4.778323875
156	4.77173648
157	4.764514097
158	4.755256519
159	4.745398568
160	4.739059764
161	4.73435353
162	4.730780101
163	4.728131287
164	4.715081436
165	4.710509098
166	4.706815253
167	4.699198033
168	4.692491107
169	4.687812617
170	4.686277895
171	4.680961444
172	4.676962507
173	4.673899148
174	4.667540742
175	4.665894644
176	4.661023876
177	4.655557907
178	4.653971607
179	4.646914253
180	4.642008054
181	4.634628384
182	4.628891608
183	4.624990646
184	4.619666552
185	4.614047774
186	4.609574131
187	4.606944651
188	4.605916942
189	4.600645752
190	4.595176991
191	4.59281551
192	4.588972089
193	4.587579377
194	4.584775204
195	4.581337605
196	4.576101844
197	4.56891922
198	4.563360827
199	4.559742332
