iter	Passed	Remaining
0	0	141
1	1	123
2	1	113
3	2	110
4	2	109
5	3	109
6	3	105
7	4	104
8	4	104
9	5	103
10	5	102
11	6	102
12	7	101
13	7	100
14	8	99
15	8	98
16	9	98
17	9	98
18	10	98
19	10	97
20	11	96
21	11	95
22	12	94
23	13	95
24	13	95
25	14	94
26	14	94
27	15	94
28	15	94
29	16	93
30	16	92
31	17	90
32	17	89
33	18	89
34	18	88
35	19	87
36	19	86
37	20	85
38	20	84
39	20	83
40	21	82
41	21	81
42	22	80
43	22	80
44	23	79
45	23	78
46	23	77
47	24	77
48	24	76
49	25	76
50	25	75
51	26	75
52	27	75
53	27	74
54	28	74
55	28	73
56	28	72
57	29	72
58	29	71
59	30	70
60	30	70
61	31	69
62	31	69
63	32	68
64	32	67
65	33	67
66	33	66
67	34	66
68	34	65
69	35	65
70	35	64
71	35	63
72	36	63
73	36	62
74	37	61
75	37	61
76	38	61
77	39	61
78	39	60
79	40	60
80	41	60
81	41	59
82	42	59
83	42	58
84	42	58
85	43	57
86	43	56
87	44	56
88	44	55
89	45	55
90	45	54
91	46	54
92	46	53
93	47	53
94	47	52
95	47	51
96	48	51
97	48	50
98	49	50
99	49	49
100	50	49
101	51	49
102	51	48
103	52	48
104	52	47
105	53	47
106	53	46
107	54	46
108	54	45
109	55	45
110	55	44
111	56	44
112	56	43
113	56	42
114	57	42
115	57	41
116	58	41
117	58	40
118	59	40
119	59	39
120	60	39
121	60	38
122	61	38
123	61	37
124	62	37
125	62	36
126	63	36
127	63	35
128	64	35
129	64	34
130	65	34
131	66	34
132	66	33
133	67	33
134	68	32
135	69	32
136	69	32
137	70	31
138	71	31
139	71	30
140	72	30
141	72	29
142	73	29
143	73	28
144	74	28
145	74	27
146	75	27
147	75	26
148	76	26
149	76	25
150	77	25
151	78	24
152	78	24
153	79	23
154	79	23
155	80	22
156	80	22
157	81	21
158	81	21
159	82	20
160	82	20
161	83	19
162	83	19
163	84	18
164	84	17
165	85	17
166	85	16
167	86	16
168	86	15
169	87	15
170	87	14
171	88	14
172	88	13
173	89	13
174	89	12
175	90	12
176	90	11
177	91	11
178	91	10
179	92	10
180	92	9
181	93	9
182	94	8
183	94	8
184	95	7
185	95	7
186	96	6
187	96	6
188	97	5
189	97	5
190	98	4
191	98	4
192	99	3
193	99	3
194	100	2
195	100	2
196	101	1
197	101	1
198	102	0
199	102	0
